Vendor_ID,Asset,Price,Timestamp,Market,Currency,Volume,Latency_ms
Vendor_A,TCS,3475.76,2025-01-01 09:15:00,BSE,INR,84810,233
Vendor_B,TCS,3470.68,2025-01-01 09:15:00,BSE,INR,84463,459
Vendor_C,TCS,3477.12,2025-01-01 09:15:00,BSE,INR,54124,121
Vendor_D,TCS,3486.86,2025-01-01 09:15:00,BSE,INR,2529,454
Vendor_A,INFY,1515.11,2025-01-01 09:15:00,BSE,INR,14535,35
Vendor_B,INFY,1512.58,2025-01-01 09:15:00,NSE,INR,49051,211
Vendor_C,INFY,1515.3,2025-01-01 09:15:00,BSE,INR,72981,88
Vendor_D,INFY,1517.75,2025-01-01 09:15:00,NSE,INR,82165,188
Vendor_A,RELIANCE,2490.2,2025-01-01 09:15:00,BSE,INR,22688,154
Vendor_B,RELIANCE,2489.74,2025-01-01 09:15:00,BSE,INR,47822,415
Vendor_C,RELIANCE,2489.23,2025-01-01 09:15:00,NSE,INR,10080,98
Vendor_D,RELIANCE,2494.09,2025-01-01 09:15:00,BSE,INR,36394,239
Vendor_A,HDFC,1571.89,2025-01-01 09:15:00,BSE,INR,33908,217
Vendor_B,HDFC,1576.5,2025-01-01 09:15:00,NSE,INR,32315,403
Vendor_C,HDFC,1572.04,2025-01-01 09:15:00,NSE,INR,32833,465
Vendor_D,HDFC,1582.78,2025-01-01 09:15:00,BSE,INR,15344,41
Vendor_A,ICICI,892.02,2025-01-01 09:15:00,NSE,INR,24136,462
Vendor_B,ICICI,890.54,2025-01-01 09:15:00,BSE,INR,96550,239
Vendor_C,ICICI,891.8,2025-01-01 09:15:00,BSE,INR,74045,383
Vendor_D,ICICI,893.55,2025-01-01 09:15:00,NSE,INR,36974,424
Vendor_A,SBIN,607.82,2025-01-01 09:15:00,NSE,INR,22483,103
Vendor_B,SBIN,609.98,2025-01-01 09:15:00,NSE,INR,74196,72
Vendor_C,SBIN,552.71,2025-01-01 09:15:00,NSE,INR,58611,496
Vendor_D,SBIN,608.14,2025-01-01 09:15:00,NSE,INR,20132,118
Vendor_A,WIPRO,454.04,2025-01-01 09:15:00,NSE,INR,85020,203
Vendor_B,WIPRO,454.38,2025-01-01 09:15:00,NSE,INR,94339,324
Vendor_C,WIPRO,452.86,2025-01-01 09:15:00,NSE,INR,29140,289
Vendor_D,WIPRO,409.43,2025-01-01 09:15:00,NSE,INR,61314,125
Vendor_A,LT,3013.07,2025-01-01 09:15:00,NSE,INR,52398,380
Vendor_B,LT,3013.39,2025-01-01 09:15:00,NSE,INR,68827,115
Vendor_C,LT,3011.05,2025-01-01 09:15:00,BSE,INR,62469,301
